NameEng,AddressEng,NameChi,AddressChi
OI KWAN COURT,28 OI KWAN ROAD,愛群閣,愛群道28號
LEI WEN COURT,23-33 HAVEN STREET,禮雲大樓,希雲街23-33號
GREAT GEORGE BUILDING,27 PATERSON STREET,華登大廈,百德新街27號
HAY WAH BUILDING,72-86 LOCKHART ROAD,熙華大廈,駱克道72-86號
KIN LEE BUILDING,130-146 JAFFE ROAD,建利大樓,謝斐道130-146號
HANG SHUN MANSION,68-82 JAFFE ROAD,恆信大廈,謝斐道68-82號
THE MORRISON,28 YAT SIN STREET,駿逸峰,日善街28號
SUN KAI MANSION,38-46 HENNESSY ROAD,新基大樓,軒尼詩道38-46號
HING BONG MANSION,117 LOCKHART ROAD,興邦大廈,駱克道117號
CATHAY LODGE,125 WAN CHAI ROAD,國泰新宇,灣仔道125號
HOI DEEN COURT,276-279 GLOUCESTER ROAD,海殿大廈,告士打道276-279號
RIALTO BUILDING,2 LANDALE STREET,麗都大廈,蘭杜街2號
THE OAKHILL,28 WOOD ROAD,萃峰,活道28號
CITY CENTRE BUILDING,144-149 GLOUCESTER ROAD,城市大廈,告士打道144-149號
PAO WOO MANSION,177-179 WAN CHAI ROAD,保和大廈,灣仔道177-179號
MOUNTAIN VIEW MANSION,2-4 SWATOW STREET,廣泰樓,汕頭街2-4號
ONE WANCHAI,1 WAN CHAI ROAD,壹環,灣仔道1號
YEE ON BUILDING,26 EAST POINT ROAD,怡安大廈,東角道26號
HUNG YIP BUILDING,234-236 WAN CHAI ROAD,鴻業大廈,灣仔道234-236號
STARLIGHT GARDEN,2-14 ELECTRIC STREET,星輝苑,電氣街2-14號
KAM SHING BUILDING,14-24 STONE NULLAH LANE,金勝大廈,石水渠街14-24號
YEN MEN BUILDING,98-108 JAFFE ROAD,仁文大廈,謝斐道98-108號
NEWMAN HOUSE,35-45 JOHNSTON ROAD,利文樓,莊士敦道35-45號
LUCKIFAST BUILDING,1-13 STONE NULLAH LANE,其發大廈,石水渠街1-13號
CHEUNG LOK MANSION,222-228C WAN CHAI ROAD,祥樂大樓,灣仔道222-228C號
MAY WAH BUILDING (MEI WAH BUILDING),164-176 JOHNSTON ROAD,美華大廈,莊士敦道164-176號
EAST SOUTH BUILDING,475-481 HENNESSY ROAD,東南大廈,軒尼詩道475-481號
CITY MANSION,483-499 JAFFE ROAD,新城大廈,謝斐道483-499號
YAN WO YUET BUILDING,432-436 HENNESSY ROAD,人和悅大廈,軒尼詩道432-436號
LUEN FAT MANSION,36-42 JOHNSTON ROAD,聯發大廈,莊士敦道36-42號
54-60 PERCIVAL STREET,54-60 PERCIVAL STREET,波斯富街54-60號,波斯富街54-60號
TUNG HING BUILDING,129-135 JOHNSTON ROAD,東興大廈,莊士敦道129-135號
JADE HOUSE,210-214 HENNESSY ROAD,玉滿樓,軒尼詩道210-214號
SUNG LAN MANSION,37 LEIGHTON ROAD,崇蘭大廈,禮頓道37號
KWONG WAH BUILDING (MANSION),269-273 HENNESSY ROAD,光華大廈,軒尼詩道269-273號
WAN FUNG MANSION (BUILDING),245-251 LOCKHART ROAD,雲豐大廈,駱克道245-251號
JET FOIL MANSION,415-421 JAFFE ROAD,積福大廈,謝斐道415-421號
HENNESSY ROAD COURT,213-219 HENNESSY ROAD,軒尼詩道大樓,軒尼詩道213-219號
FAIRVIEW MANSION,51 PATERSON STREET,華爾大廈,百德新街51號
HANG TAK BUILDING,1 ELECTRIC STREET,恆德大廈,電氣街1號
FOOK GAY MANSION,375-379 LOCKHART ROAD,福基大廈,駱克道375-379號
NEWTOWN MANSION,6 CLEVELAND STREET,新唐大廈,加寧街6號
CLARKE MANSION,9 KINGSTON STREET,嘉賓大廈,京士頓街9號
LOCKHART HOUSE,451-457 LOCKHART ROAD,駱克大樓,駱克道451-457號
SZE BO BUILDING,59-65 HENNESSY ROAD,四寶大廈,軒尼詩道59-65號
HAYWOOD MANSION,57 PATERSON STREET,海華大廈,百德新街57號
CHIU HIN MANSION,94-102 JOHNSTON ROAD,昭憲大廈,莊士敦道94-102號
PERCIVAL HOUSE,77-83 PERCIVAL STREET,波斯富大廈,波斯富街77-83號
MING YIN MANSION (BUILDING),390-396A LOCKHART ROAD,明賢大廈,駱克道390-396A號
TAK WAH MANSION,290-296 HENNESSY ROAD,德華大廈,軒尼詩道290-296號
KAM SING MANSION,151-161 JAFFE ROAD,金聲大廈,謝斐道151-161號
YEN MAY BUILDING,11-21 SWATOW STREET,仁美大廈,汕頭街11-21號
WAH YING BUILDING,14-20 SHELTER STREET,華英大廈,信德街14-20號
KING TAO BUILDING,94-100 LOCKHART ROAD,京都大樓,駱克道94-100號
TUNG FONG BUILDING,151-155 JOHNSTON ROAD,東方大廈,莊士敦道151-155號
YEE WAH MANSION,38-40A YEE WO STREET,怡華大廈,怡和街38-40A號
DIAMOND MANSION,462-468 LOCKHART ROAD,鑽石大樓,駱克道462-468號
THAI WAH BUILDING,262-268 LOCKHART ROAD,泰華大廈,駱克道262-268號
EAST ASIA MANSION,23-29 HENNESSY ROAD,東亞大樓,軒尼詩道23-29號
CHUNG NAM MANSION,148-158 JOHNSTON ROAD,中南樓,莊士敦道148-158號
FULLY BUILDING,62-76 WAN CHAI ROAD,富利大廈,灣仔道62-76號
LUCKY HOUSE,149 WAN CHAI ROAD,樂景大樓,灣仔道149號
TAI KWUN MANSION,442-452 LOCKHART ROAD,大觀樓,駱克道442-452號
PAUL YEE MANSION,340-348 JAFFE ROAD,保如大廈,謝斐道340-348號
112 JOHNSTON ROAD,112 JOHNSTON ROAD,雙喜樓,莊士敦道112號
ISLAND BUILDING,439-445 HENNESSY ROAD,香島大廈,軒尼詩道439-445號
PHOENIX APARTMENTS,54-70 LEE GARDEN ROAD,鳳鳴大廈,利園山道54-70號
PO FOO BUILDING,1-5 FOO MING STREET,寶富大樓,富明街1-5號
SOUTHORN GARDEN,2 O'BRIEN ROAD,修頓花園,柯布連道2號
YING KING BUILDING (MANSION),192-198 HENNESSY ROAD,英京大廈,軒尼詩道192-198號
TOP VIEW MANSION,10 CANAL ROAD WEST,冠景樓,堅拿道西10號
SILVERVALE MANSION,18 CROSS STREET,兆威閣,交加街18號
FU YUEN,39-49 WAN CHAI ROAD,富苑,灣仔道39-49號
YUE KING BUILDING,1-7 LEIGHTON ROAD,愉景樓,禮頓道1-7號
JOHNSTON COURT,28-34 JOHNSTON ROAD,莊士頓大樓,莊士敦道28-34號
yoo Residence,33 TUNG LO WAN ROAD,yoo Residence,銅鑼灣道33號
NEW SPRING GARDEN MANSION,47-65 SPRING GARDEN LANE,新春園大廈,春園街47-65號
SOUTHORN MANSION,1-3 LUARD ROAD,修頓大廈,盧押道1-3號
ON HING MANSION,156-164 QUEEN'S ROAD EAST,安興大廈,皇后大道東156-164號
YORK PLACE,22 JOHNSTON ROAD,YORK PLACE,莊士敦道22號
KELLY HOUSE,6-14 GRESSON STREET,基利大廈,機利臣街6-14號
WAH FAT MANSION,405-419 LOCKHART ROAD,華發大廈,駱克道405-419號
KO WAH BUILDING(GO WAH MANSION),285-295A LOCKHART ROAD,高華大廈,駱克道285-295A號
MAN ON HOUSE,151-163 WAN CHAI ROAD,文安樓,灣仔道151-163號
TONNOCHY TOWERS,250-274 JAFFE ROAD,杜智臺,謝斐道250-274號
HOOVER TOWERS,15 SAU WA FONG,海華苑,秀華坊15號
PAK LING BUILDING,368-374 LOCKHART ROAD,百齡大廈,駱克道368-374號
THE ZENITH,258 QUEEN'S ROAD EAST,尚翹峰,皇道大道東258號
KWONG SANG HONG BUILDING,188 WAN CHAI ROAD,廣生行大廈,灣仔道188號
PATERSON BUILDING,38-47 PATERSON STREET,百德大廈,百德新街38-47號
MAN HEE MANSION,2-12A JOHNSTON ROAD,文熙大廈,莊士敦道2-12A號
PO MING BUILDING,2-6 FOO MING STREET,寶明大廈,富明街2-6號
LI CHIT GARDEN,1 LI CHIT STREET,李節花園,李節街1號
LAP HING BUILDING,275-285 HENNESSY ROAD,立興大廈,軒尼詩道275-285號
CHEONG IP BUILDING,344-354A HENNESSY ROAD,昌業大廈,軒尼詩道344-354A號
MING FUNG BUILDING,128-150 WAN CHAI ROAD,明豐大廈,灣仔道128-150號
YING LEE MANSION,323-331 HENNESSY ROAD,英利大廈,軒尼詩道323-331號
LEI SHUN COURT,106-126 LEIGHTON ROAD,禮信大廈,禮頓道106-126號
GOLD JADE MANSION,339-347 LOCKHART ROAD,金碧大廈,駱克道339-347號
LAI YUEN APARTMENTS,59-61 RUSSELL STREET,麗園大廈,羅素街59-61號
THE GRANDEUR,48 JARDINE'S CRESCENT,采怡閣,渣甸坊48號
LEE LOY BUILDING,208-214 JAFFE ROAD,利來大廈,謝斐道208-214號
LAP TAK BUILDING,205-217 LOCKHART ROAD,立德大廈,駱克道205-217號
TUNG KAI BUILDING,158-172 JAFFE ROAD,東基大廈,謝斐道158-172號
PO WING BUILDING,108-120 PERCIVAL STREET,寶榮大樓,波斯富街108-120號
MOONSTAR COURT,2A-2G STAR STREET,星月閣,星街2A-2G號
LILY MANSION,102-108 LOCKHART ROAD,麗麗大廈,駱克道102-108號
DRAGON RISE,9-11 PENNINGTON STREET,登龍閣,邊寧頓街9-11號
THE HARBOURVIEW,11 MAGAZINE GAP ROAD,港景別墅,馬己仙峽道11號
CONVENTION PLAZA APARTMENTS,1 HARBOUR ROAD,會展中心會景閣,港灣道1號
HILLSBOROUGH COURT,18 OLD PEAK ROAD,曉峰閣,舊山頂道18號
STAR CREST,9 STAR STREET,星域軒,星街9號
CLOVELLY COURT,12 MAY ROAD,嘉富麗苑,梅道12號
GRENVILLE HOUSE,3 MAGAZINE GAP ROAD,嘉慧園,馬己仙峽道3號
PHOENIX COURT,39 KENNEDY ROAD,鳳凰閣,堅尼地道39號
TREGUNTER,14 TREGUNTER PATH,地利根德閣,地利根德里14號
REGENCE ROYALE,2 BOWEN ROAD,富匯豪庭,寶雲道2號
ROYAL COURT,9M KENNEDY ROAD,皇朝閣,堅尼地道9M號
AMBER GARDEN,70-72 KENNEDY ROAD,珀苑,堅尼地道70-72號
ESTORIL COURT,55 GARDEN ROAD,愛都大廈,花園道55號
GRANDVIEW TOWER,128-130 KENNEDY ROAD,慧景臺,堅尼地道128-130號
ST. LOUIS MANSION,20 MACDONNELL ROAD,雨時大廈,麥當勞道20號
CAMELOT HEIGHT,66 KENNEDY ROAD,金鑾閣,堅尼地道66號
VALVERDE,11 MAY ROAD,蔚皇居,梅道11號
FAIRLANE TOWER,2B BOWEN ROAD,寶雲山莊,寶雲道2B號
PO GARDEN,9 BREWIN PATH,寶園,蒲魯賢徑9號
MONTICELLO,48 KENNEDY ROAD,滿峰台,堅尼地道48號
REGENT ON THE PARK,9A KENNEDY ROAD,御花園,堅尼地道9A號
CENTURY TOWER,1A TREGUNTER PATH,世紀大廈,地利根德里1A號
DYNASTY COURT,17-23 OLD PEAK ROAD,帝景園,舊山頂道17-23號
BIRCHWOOD PLACE,96 MACDONNELL ROAD,寶樺臺,麥當勞道96號
THE LEGEND,23 TAI HANG DRIVE,名門,大坑徑23號
BEVERLY HILL,6 BROADWOOD ROAD,比華利山,樂活道6號
KING CHEUNG MANSION,1-9 KING KWONG STREET,景祥大樓,景光街1-9號
THE LEIGHTON HILL,2B BROADWOOD ROAD,禮頓山,樂活道2B號
TAI HANG TERRACE,5 CHUN FAI ROAD,大坑台,春暉道5號
BELLEVUE HEIGHTS,8 TAI HANG DRIVE,碧蘭閣,大坑徑8號
LE CACHET,69 SING WOO ROAD,嘉逸軒,成和道69號
WARRENWOODS,23 WARREN STREET,尚巒,華倫街23號
MALIBU GARDEN,3 TSUI MAN STREET,名仕花園,聚文街3號
1 TAI HANG ROAD,1 TAI HANG ROAD,大坑道1號,大坑道1號
FLORA GARDEN,7 CHUN FAI ROAD,慧景園,春暉道7號
ILLUMINATION TERRACE,5-7 TAI HANG ROAD,光明臺,大坑道5-7號
RONSDALE GARDEN,25 TAI HANG DRIVE,龍華花園,大坑徑25號
SERENADE,11 TAI HANG ROAD,上林,大坑道11號
ELM TREE TOWERS,8-10 CHUN FAI ROAD,愉富大廈,春暉道8-10號
GREENWAY TERRACE,5-7 LINK ROAD,匯翠台,連道5-7號
PARK GARDEN,6 TAI HANG DRIVE,柏園,大坑徑6號
HORACE COURT,3 SHAN KWONG ROAD,愉寶大廈,山光道3號
MANDARIN VILLA,10 SHIU FAI TERRACE,文華新?,肇輝臺10號
BROOM GARDEN,1 BROOM ROAD,蟠龍苑,蟠龍道1號
VILLA MONTE ROSA,41A STUBBS ROAD,玫瑰新?,司徒拔道41A號
VILLA ROCHA,10 BROADWOOD ROAD,樂翠台,樂活道10號
SAN FRANCISCO TOWERS,35 VENTRIS ROAD,金山花園,雲地利道35號
WINFIELD GARDENS,34-40 SHAN KWONG ROAD,永富苑,山光道34-40號
CELESTE COURT,12 FUNG FAI TERRACE,蔚雲閣,鳳輝臺12號
SILVERWOOD,109 CAROLINE HILL ROAD,力生軒,加路連山道109號
GRAND DECO TOWER,26 TAI HANG ROAD,帝后臺,大坑道26號
BUTLER TOWERS,1-5 BOYCE ROAD,柏麗園,布思道1-5號
SHAN KWONG TOWERS,22-24 SHAN KWONG ROAD,山光苑,山光道22-24號
VILLA LOTTO,18 BROADWOOD ROAD,樂陶苑,樂活道18號
CAVENDISH HEIGHTS,33 PERKINS ROAD,嘉雲臺,白建時道33號
FONTANA GARDENS,KA NING PATH,豪園,嘉寧徑
WING ON TOWERS,7-9 BOYCE ROAD,永安閣,布思道7-9號
MAJESTIC COURT,8 TSUI MAN STREET,帝華閣,聚文街8號
FORTUNA COURT,1 WONG NAI CHUNG ROAD,永光苑,黃泥涌道1號
NAM WING BUILDING,49-51A SING WOO ROAD,南榮大廈,成和道49-51A號
GARDENVIEW HEIGHTS,19 TAI HANG DRIVE,嘉景臺,大坑徑19號
THE SIGNATURE,8 CHUN FAI TERRACE,春暉8號,春暉臺8號
AMIGO MANSION,79A WONG NAI CHUNG ROAD,雅谷大廈,黃泥涌道79A號
THE VALLEY VIEW,12 TSUI MAN STREET,威利閣,聚文街12號
GOLD KING MANSION,7 TAI HANG DRIVE,高景大廈,大坑徑7號
GOLD NING MANSION,5 TAI HANG DRIVE,高寧大廈,大坑徑5號
H & S BUILDING,36 LEIGHTON ROAD,嘉柏大廈,禮頓道36號
PANNY COURT,5 VILLAGE ROAD,鵬麗閣,山村道5號
YUK SAU MANSION,18-20 YUK SAU STREET,毓秀大廈,毓秀街18-20號
Y.I,10 TAI HANG ROAD,Y.I,大坑道10號
REGENT HILL,1 LUN HING STREET,壹鑾,聯興街1號
FRIENDSHIP COURT,12-22 BLUE POOL ROAD,友誼大廈,藍塘道12-22號
BROADWOOD TWELVE,12 BROADWOOD ROAD,樂天峰,樂活道12號
CLAYMORE LODGE,33 VILLAGE ROAD,嘉樂居,山村道33號
NO. 339 TAI HANG ROAD,339 TAI HANG ROAD,大坑道339號,大坑道339號
THE ALTITUDE,20 SHAN KWONG ROAD,紀雲峰,山光道20號
UNIQUE TOWER,7-9 WONG NAI CHUNG ROAD,旭逸閣,黃泥涌道7-9號
THE WARREN,9 WARREN STREET,瑆華,華倫街9號
VILLAGE TOWER,7 VILLAGE ROAD,山村大廈,山村道7號
JONES HIVE,8 JONES STREET,雋琚,重士街8號
SWISS TOWERS,113 TAI HANG ROAD,瑞士花園,大坑道113號
WINFIELD BUILDING,1-5 VENTRIS ROAD,雲暉大廈,雲地利道1-5號
JARDINE'S LOOKOUT GARDEN MANSION,148-150 TAI HANG ROAD,渣甸山花園大廈,大坑道148-150號
VENTRIS PLACE,19-23 VENTRIS ROAD,雲地利台,雲地利道19-23號
GREENVILLE GARDENS,14-17 SHIU FAI TERRACE,嘉苑,肇輝臺14-17號
SHERWOOD COURT,18 KWAI SING LANE,誠和閣,桂成里18號
EVERGREEN VILLA,43 STUBBS ROAD,松柏新?,司徒拔道43號
MIRAMAR VILLA,2B SHIU FAI TERRACE,美麗村,肇輝臺2B號
YEE FUNG BUILDING,1-1F VILLAGE ROAD,怡豐大廈,山村道1-1F號
MOON FAIR MANSION,11 SHIU FAI TERRACE,滿輝大廈,肇輝臺11號
TSUI MAN COURT,76 VILLAGE ROAD,聚文樓,山村道76號
KAM KWONG MANSION,36-44 KING KWONG STREET,金光大廈,景光街36-44號
BROADVIEW VILLA,20 BROADWOOD ROAD,樂景園,樂活道20號
BRAEMAR HILL MANSIONS,15-43 BRAEMAR HILL ROAD,賽西湖大廈,寶馬山道15-43號
BEVERLEY HEIGHTS,56 CLOUD VIEW ROAD,富豪閣,雲景道56號
DRAGON PRIDE,18 TIN HAU TEMPLE ROAD,傲龍軒,天后廟道18號
CORAL COURT,116-126 TIN HAU TEMPLE ROAD,珊瑚閣,天后廟道116-126號
DRAGON COURT,6 DRAGON TERRACE,金龍大廈,金龍臺6號
PACIFIC PALISADES,1 BRAEMAR HILL ROAD,寶馬山花園,寶馬山道1號
BRAEMAR TERRACE,1 BRAEMAR TERRACE,寶馬臺,卑利瑪臺1號
EVELYN TOWERS,38 CLOUD VIEW ROAD,雲景台,雲景道38號
MAIDEN COURT,46 CLOUD VIEW ROAD,萬德閣,雲景道46號
SUMMIT COURT,144-158 TIN HAU TEMPLE ROAD,雲峰大廈,天后廟道144-158號
TEMPO COURT,4 BRAEMAR HILL ROAD,天寶大廈,寶馬山道4號
SKY SCRAPER,132-142 TIN HAU TEMPLE ROAD,摩天大廈,天后廟道132-142號
HO KING VIEW,2 BRAEMAR HILL ROAD,豪景,寶馬山道2號
42-60 TIN HAU TEMPLE ROAD,42-60 TIN HAU TEMPLE ROAD,天后廟道42-60號,天后廟道42-60號
HILLTOP MANSION,60 CLOUD VIEW ROAD,峰景大廈,雲景道60號
BROADVIEW TERRACE,40 CLOUD VIEW ROAD,雅景臺,雲景道40號
FLORA GARDEN,50 CLOUD VIEW ROAD,富麗園,雲景道50號
OXFORD COURT,24-26 BRAEMAR HILL ROAD,豐林閣,寶馬山道24-26號
THE PAVILIA HILL,18A TIN HAU TEMPLE ROAD,柏傲山,天后廟道18A號
KINGSFORD GARDENS,202-216 TIN HAU TEMPLE ROAD,瓊峰園,天后廟道202-216號
VIKING VILLAS,70 TIN HAU TEMPLE ROAD,威景臺,天后廟道70號
SKY HORIZON,35 CLOUD VIEW ROAD,海天峰,雲景道35號
SEAVIEW GARDEN,31 CLOUD VIEW ROAD,海景台,雲景道31號
STATE THEATRE BUILDING,277-291 KING'S ROAD,皇都戲院,英皇道277-291號
CITY GARDEN,233 ELECTRIC ROAD,城市花園,電氣道233號
PROVIDENT CENTRE,21-53 WHARF ROAD,和富中心,和富道21-53號
HEALTHY GARDENS,560 KING'S ROAD,健威花園,英皇道560號
FULL WEALTH GARDENS,1-10 KAI YUEN TERRACE,富雅花園,繼園臺1-10號
BEDFORD GARDENS,151-173 TIN HAU TEMPLE ROAD,百福花園,天后廟道151-173號
HARBOUR HEIGHTS,1-5 FOOK YUM ROAD,海峰園,福蔭道1-5號
FORTRESS METRO TOWER,238 KING'S ROAD,康澤花園,英皇道238號
KING'S TOWER,15-23A TSAT TSZ MUI ROAD,昌明洋樓,七姊妺道15-23A號
VICTORIA CENTRE,15 WATSON ROAD,維多利中心,屈臣道15號
DRAGON CENTRE,21-25 WUN SHA STREET,龍濤苑,浣紗街21-25號
METROPOLE BUILDING,416-438 KING'S ROAD,新都城大廈,英皇道416-438號
MAPLE GARDENS,33-51 KIN WAH STREET,楓林花園,建華街33-51號
TANNER GARDEN,18 TANNER ROAD,丹拿花園,丹拿道18號
ISLAND PLACE,51-61 TANNER ROAD,港運城,丹拿道51-61號
HEALTHY VILLAGE,668 KING'S ROAD,健康村,英皇道668號
COMFORT GARDEN,60 KING'S ROAD,康福園,英皇道60號
CORONET COURT,321-333 KING'S ROAD,皇冠大廈,英皇道321-333號
VICTOR COURT,14-28 WANG ON ROAD,威德閣,宏安道14-28號
CONTINENTAL MANSION,290-304 KING'S ROAD,五洲大廈,英皇道290-304號
KIU HING MANSION,14 KING'S ROAD,僑興大廈,英皇道14號
WHARF MANSION,128-132 WHARF ROAD,和富大樓,和富道128-132號
YEN DACK BUILDING,93-113 CHUN YEUNG STREET,仁德大廈,春秧街93-113號
LUEN WO APARTMENTS,296-306 ELECTRIC ROAD,聯和大廈,電氣道296-306號
KA WAI BUILDING,146-166 JAVA ROAD,嘉威大廈,渣華道146-166號
FORTUNA BUILDING,24-38 KAM PING STREET,幸福大樓,錦屏街24-38號
JUPITER TERRACE,18 JUPITER STREET,縉景臺,木星街18號
MING FAI BUILDING,20-36 WHARF ROAD,明暉大廈,和富道20-36號
THE WHARF,33 NORTH POINT ROAD,和富豪庭,北角道33號
GAIN YU BUILDING,96-112 WHARF ROAD,橋裕大廈,和富道96-112號
SIU BO MANSION,126-128 TSAT TSZ MUI ROAD,兆寶大廈 (兆寶樓),七姊妺道126-128號
YEE BO MANSION,57-59 FORT STREET,怡寶洋樓,堡壘街57-59號
WAH SHING MANSION,70-74 CHUN YEUNG STREET,華誠洋樓,春秧街70-74號
WAH LAI MANSION,62-76 MARBLE ROAD,華禮大廈,馬寶道62-76號
YUET MING BUILDING,125-133 KING'S ROAD,月明樓,英皇道125-133號
RIALTO MANSION,177-191A KING'S ROAD,利都樓,英皇道177-191A號
GORDON HOUSE,82-86 HING FAT STREET,歌頓大廈,興發街82-86號
HANG YING HOUSE,318-328 KING'S ROAD,恆英大廈,英皇道318-328號
MING YUEN CENTRE,6 MING YUEN WESTERN STREET,明苑中心,明園西街6號
GLORY RISE,128 CHUN YEUNG STREET,港逸軒,春秧街128號
HUNG FUK BUILDING,40-78 KAM PING STREET,鴻福大樓,錦屏街40-78號
PAK FUK BUILDING,80-118 KAM PING STREET,百福大廈,錦屏街80-118號
FU LEE LOY MANSION,9-27 KING WAH ROAD,富利來大廈,京華道9-27號
FORTRESS GARDEN,32 FORTRESS HILL ROAD,富澤花園,炮台山道32號
KIU KWAN MANSION,395 KING'S ROAD,僑冠大廈,英皇道395號
LE SOMMET,28 FORTRESS HILL ROAD,豪廷峰,炮台山道28號
KAM PING MANSION,63-69 KAM PING STREET,錦屏樓,錦屏街63-69號
TUNG FAT BUILDING,21-61 KAM PING STREET,東發大廈,錦屏街21-61號
16 GLASS STREET,1-5G KING MING ROAD,玻璃街16號,景明道1-5G號
ROCA CENTRE,18 SHU KUK STREET,樂嘉中心,書局街18號
LIME HABITAT,38 MING YUEN WESTERN STREET,形品,明園西街38號
ISLAND LODGE,180 JAVA ROAD,港濤軒,渣華道180號
ODEON BUILDING,28 SHU KUK STREET,國賓大廈,書局街28號
EVERWIN BUILDING,406-408 KING'S ROAD,康威大廈,英皇道406-408號
MAYLUN APARTMENTS,1-25 SHU KUK STREET,美輪大廈,書局街1-25號
WAH HAI MANSION,10-16 FORT STREET,華曦大廈,堡壘街10-16號
FU KING COURT,18-24 CHING WAH STREET,富景閣,清華街18-24號
WUN SHA TOWER,33-45 WUN SHA STREET,浣紗花園,浣紗街33-45號
SENTACT BUILDING,347 KING'S ROAD,新達大廈,英皇道347號
KA HING BUILDING,41-47 JAVA ROAD,嘉興大廈,渣華道41-47號
MING YUET BUILDING,7-15 YUET YUEN STREET,明月大廈,月園街7-15號
TAI WAH BUILDING,130-140 ELECTRIC ROAD,泰華大廈,電氣道130-140號
MARY COURT,376-380 KING'S ROAD,美麗閣,英皇道376-380號
UNITED BUILDING,135-145 KING'S ROAD,民眾大廈,英皇道135-145號
RICA VICTORIA,28 JAVA ROAD,港輝豪庭,渣華道28號
CHEONG SHING MANSION,33-39 WING HING STREET,昌盛洋樓,永興街33-39號
HOI HING BUILDING,5-7 MERCURY STREET,海興大廈,水星街5-7號
ON NING BUILDING,425-431 KING'S ROAD,安寧大廈,英皇道425-431號
NAM TIN BUILDING,275 KING'S ROAD,南天大廈,英皇道275號
MAJESTIC APARTMENTS,301-319 KING'S ROAD,麗宮大廈,英皇道301-319號
KIN YIP MANSION,24 JAVA ROAD,建業大廈,渣華道24號
ASIA MANSIONS,390-394 KING'S ROAD,亞洲大廈,英皇道390-394號
YALFORD BUILDING,44-58 TANNER ROAD,友福園,丹拿道44-58號
YEE ON MANSION,55-71 CHUN YEUNG STREET,宜安大廈,春秧街55-71號
KING'S CENTRE,193-241 KING'S ROAD,英皇中心,英皇道193-241號
GOLDEN CASTLE MANSION,5-13 FORTRESS HILL ROAD,金堡大廈,炮台山道5-13號
MARBLE GARDEN,33 MARBLE ROAD,寶馬花園,馬寶道33號
WAH HOI MANSION,242-290 ELECTRIC ROAD,華凱大廈,電氣道242-290號
PARK TOWERS,1 KING'S ROAD,柏景臺,英皇道1號
CARSON MANSION,170-174 ELECTRIC ROAD,嘉信大廈,電氣道170-174號
VIKING GARDEN,40-42 HING FAT STREET,維景花園,興發街40-42號
MING YUEN MANSIONS,1-72 PEACOCK ROAD,明園,孔雀道1-72號
FAT CHEONG BUILDING,63-81 ELECTRIC ROAD,發昌樓,電氣道63-81號
NORTH POINT MANSION,692-702 KING'S ROAD,北角大廈,英皇道692-702號
SUPERNOVA STAND,28 MERCURY STREET,耀星華庭,水星街28號
KAR WAN BUILDING,10-16 YUET YUEN STREET,嘉運大廈,月園街10-16號
HAN PALACE BUILDING,441-447 KING'S ROAD,漢宮大廈,英皇道441-447號
WINNER HOUSE,310 KING'S ROAD,雲華大廈,英皇道310號
YIK HON BUILDING,72-78 JAVA ROAD,益漢洋樓,渣華道72-78號
SIU WAH BUILDING,116-122 TSAT TSZ MUI ROAD,兆華大廈,七姊妺道116-122號
TUNG PO BUILDING,483-497 KING'S ROAD,東寶大廈,英皇道483-497號
THE JAVA,98 JAVA ROAD,渣華道98號,渣華道98號
MOUNT EAST,28 MING YUEN WESTERN STREET,曉峰,明園西街28號
CONWELL MANSION,114-126 WHARF ROAD,康華大廈,和富道114-126號
HING HON BUILDING,26-36 KING'S ROAD,興漢大廈,英皇道26-36號
MAYSON GARDEN BUILDING,62-74 HING FAT STREET,美城花園大廈,興發街62-74號
JOLLY HOUSE,16 LIN FA KUNG STREET WEST,金樂居,蓮花宮西街16號
SEAVIEW BUILDING,2-8 WHARF ROAD,嘉洋大廈,和富道2-8號
NGAN FAI BUILDING,84-94 WHARF ROAD,銀輝大廈,和富道84-94號
YEN PO COURT,74-82 WHARF ROAD,仁寶閣,和富道74-82號
YIU MING BUILDING,42-48 JAVA ROAD,耀明大廈,渣華道42-48號
WUNSHA COURT,1-5 WUN SHA STREET,浣紗閣,浣紗街1-5號
MIDO APARTMENT,330-332 KING'S ROAD,美都大廈,英皇道330-332號
KA BO BUILDING,102-108 CHUN YEUNG STREET,嘉寶大廈,春秧街102-108號
RAYMOND COURT,14-16 KIN WAH STREET,俊文樓,建華街14-16號
SIU NIN BUILDING,30-36 TSAT TSZ MUI ROAD,兆年大廈,七姊妺道30-36號
KING MAN COURT,19-19A FORT STREET,景文樓,堡壘街19-19A號
MARBLE COURT,15 MARBLE ROAD,馬寶閣,馬寶道15號
KING YU COURT,43-45 TIN HAU TEMPLE ROAD,景愉居,天后廟道43-45號
PIEDMONT GARDEN,37-39A TIN HAU TEMPLE ROAD,華園,天后廟道37-39A號
THE HARBOURSIDE,18 WHARF ROAD,莊士維港軒,和富道18號
PAK LEE BUILDING,6-8 KING'S ROAD,百利大廈,英皇道6-8號
WAH HONG MANSION,6-8 FORT STREET,華康大廈,堡壘街6-8號
FUNG CHEONG BUILDING,38-48 WHARF ROAD,豐昌大廈,和富道38-48號
WING FAT BUILDING,114-120 CHUN YEUNG STREET,榮發大廈,春秧街114-120號
TANNER COURT,60 TANNER ROAD,丹桂閣,丹拿道60號
SHING LOONG COURT,13 DRAGON TERRACE,乘龍閣,金龍臺13號
