NameEng,AddressEng,NameChi,AddressChi
KAI SAN MANSION,31-49 YIN HING STREET,啟新大廈,衍慶街31-49號
KAI TAK GARDEN,121 CHOI HUNG ROAD,啟德花園,彩虹道121號
TIN WANG COURT,51 CHUK YUEN ROAD,天宏苑,竹園道51號
SAN PO KONG PLAZA,33 SHUNG LING STREET,新蒲崗廣場,崇齡街33號
HSIN KUANG CENTRE,120 LUNG CHEUNG ROAD,新光中心,龍翔道120號
BILLIONNAIRE ROYALE,83 SA PO ROAD,御•豪門,沙浦道83號
THE FOREST HILLS,99  PO KONG VILLAGE ROAD,匯豪山,蒲崗村道99號
FUNG PO MANSION,96 WAN FUNG STREET,鳳寶大廈,環鳳街96號
MING FUNG COURT,39 MING FUNG STREET,嗚鳳閣,鳴鳳街39號
PO TSUI MANSION,35-45 TSUI FUNG STREET,寶翠大廈,翠鳳街35-45號
YUE FU MANSION,1-17 HONG KEUNG STREET,裕富大廈,康強街1-17號
PO SING COURT,25 SHEK KU LUNG ROAD,寶城大樓,石鼓壟道25號
FUNG WONG CHUEN BUILDING,7 NGAN FUNG STREET,鳳凰?大廈,銀鳳街7號
PROFIT MANSION,23 FEI FUNG STREET,盈利大廈,飛鳳街23號
MANNING THEATRE BUILDING,51-59 YUK WAH CRESCENT,萬年戲院大廈,毓華里51-59號
CHOI HUNG BUILDING,8-34 CHOI HUNG ROAD,彩虹唐樓,彩虹道8-34號
HONG KEUNG MANSION,32-34 HONG KEUNG STREET,康強洋樓,康強街32-34號
THE VISTA,128 WAN FUNG STREET,怡庭居,環鳳街128號
FUNG LAI COURT,8 FUNG LAI ROAD,鳳禮苑,鳳禮道8號
BEL AIR HEIGHTS,1 LUNG POON STREET,悅庭軒,龍蟠街1號
KA KEUNG COURT,3 FU MEI STREET,嘉強苑,富美街3號
KAM KWOK BUILDING,2-6 HENG LAM STREET,金國大樓,杏林街2-6號
HANG ON BUILDING,43-59 PO KONG VILLAGE ROAD,恆安大廈,蒲崗村道43-59號
WAH KAY HOUSE,11 YUK WAH CRESCENT,華基大樓,毓華里11號
WINFAIR BUILDING,8 YUK WAH CRESCENT,永發大廈,毓華里8號
MAN PO BUILDING,28 YUK WAH CRESCENT,萬寶大廈,毓華里28號
KELLIE MANSION,22 YUK WAH CRESCENT,嘉喜大廈,毓華里22號
PETER'S HOUSE,55-57 MING FUNG STREET,伯德大樓,鳴鳳街55-57號
ON HONG MANSION,35-35A WAN FUNG STREET,安康大廈,環鳳街35-35A號
WING LOK BUILDING,18-30A TSEUK LUK STREET,永樂大廈,爵祿街18-30A號
FUNG WAH HOUSE,53A WAN FUNG STREET,鳳華樓,環鳳街53A號
1 LION ROCK ROAD,1 LION ROCK ROAD,獅子石道1號,獅子石道1號
BILLIONNAIRE AVANT,62 NGA TSIN LONG ROAD,御門•前,衙前塱道62號
YUE YEE MANSION,80-94A SHUNG LING STREET,如意樓,崇齡街80-94A號
PO FAT BUILDING,54-66 WAN FUNG STREET,寶發大廈,環鳳街54-66號
ON FOOK BUILDING,95-97 SHUNG LING STREET,安福大樓,崇齡街95-97號
CHEONG TAI BUILDING,83-97 KING FUK STREET,昌泰大樓,景福街83-97號
MAN YUE MANSION (BUILDING),20-34A SHUNG LING STREET,萬義大廈,崇齡街20-34A號
LE BILLIONNAIRE,46 SA PO ROAD,豪門,沙浦道46號
ASPEN CREST,68 WAN FUNG STREET,鑽嶺,環鳳街68號
THE AVERY,16 HAU WONG ROAD,THE AVERY,侯王道16號
HIGH PLACE,33 CARPENTER ROAD,曉薈,賈炳達道33號
FUNG CHEUNG HOUSE,17 WAN FUNG STREET,鳳祥樓,環鳳街17號
GOLDEN PHOENIX BUILDING,1-15 TSUI FUNG STREET,金鳳樓,翠鳳街1-15號
YIN HING BUILDING,34-58 YIN HING STREET,衍慶大廈,衍慶街34-58號
YUE XIU PLAZA,9 NING YUEN STREET,越秀廣場,寧遠街9號
ON LEE BUILDING,41-53 FUNG TAK ROAD,安利大廈,鳳德道41-53號
EVERGREEN TOWERS,42 FEI FUNG STREET,長春大廈,飛鳳街42號
CHE WAH BUILDING,8 PO YING LANE,慈華大廈,蒲英里8號
GENIUS COURT,18 FUK LO TSUN ROAD,成龍居,福佬村道18號
SILVER GARDEN,95 PO KONG VILLAGE ROAD,秀芳花園,蒲崗村道95號
REGENT ON THE HILL,183 HAMMER HILL ROAD,帝峰豪苑,斧山道183號
HONG KING BUILDING,86 TSEUK LUK STREET,康景樓,爵祿街86號
YING FUK COURT,17 WING CHUK STREET,盈福苑,穎竹街17號
PRINCE RITZ,444-450 PRINCE EDWARD ROAD WEST,太子匯,太子道西444-450號
TSUI FUNG BUILDING,19-33 TSUI FUNG STREET,翠鳳樓,翠鳳街19-33號
ON KEUNG BUILDING,91A-93 SHUNG LING STREET,安強大樓,崇齡街91A-93號
WAH LAI HOUSE,1-9 PO YING LANE,華麗樓,蒲英里1-9號
JUBILANT PLACE,99 PAU CHUNG STREET,欣榮花園,炮仗街99號
THE LATITUDE,638 PRINCE EDWARD ROAD EAST,譽•港灣,太子道東638號
MAJESTIC PARK,11 FARM ROAD,帝庭豪園,農圃道11號
NO. 18 FARM ROAD,18 FARM ROAD,農圃道18號,農圃道18號
UNITED BUILDING,1-7 WU KWONG STREET,聯盛大廈,湖光街1-7號
WHAMPOA BUILDING,15 MING ON STREET,黃埔唐樓,明安街15號
HUNG HOM BAY CENTRE,92-112 BAKER STREET,紅磡灣中心,必嘉街92-112號
THE MET. FOCUS,8 PAK KUNG STREET,薈點,北拱街8號
CHATHAM GATE,388 CHATHAM ROAD NORTH,昇御門,漆咸道北388號
LUX THEATRE BUILDING,20 MING ON STREET,寶石戲院大廈,明安街20號
TAK MAN BUILDING,29 TAK MAN STREET,德民大廈,德民街29號
WUHU RESIDENCE,111 WUHU STREET,蕪湖居,蕪湖街111號
STAR RUBY,1 SAN WAI STREET,寶御,新圍街1號
WAH BO BUILDING,33-41 BULKELEY STREET,華寶大廈,寶其利街33-41號
POLLY COURT,53 BULKELEY STREET,寶利閣,寶其利街53號
LA LUMIERE,9 LEE KUNG STREET,悅目,利工街9號
HOMANTIN HILLSIDE,8 WAI YIN PATH,何文田山畔,薈然徑8號
HO CHUNG NEW VILLAGE,HO CHUNG NEW VILLAGE,蠔涌新村,蠔涌新村
SYMPHONY BAY,533 SAI SHA ROAD,帝琴灣,西沙路533號
MARINA COVE,380 HIRAM'S HIGHWAY,匡湖居,西貢公路380號
SAI KUNG TOWN CENTRE,22-40 FUK MAN ROAD,西貢苑,福民路22-40號
SAI KUNG GARDEN,16 CHAN MAN STREET,西貢花園,親民街16號
LAKESIDE GARDEN,1 CHUI TONG ROAD,翠塘花園,翠塘路1號
HILLVIEW COURT,11 KA SHUE ROAD,曉嵐閣,嘉澍路11號
KAM PO COURT,2 SAI KUNG HOI PONG SQUARE,金寶閣,西貢海旁廣場2號
SEA VIEW VILLA,35 CHUK YEUNG ROAD,西沙小築,竹洋路35號
VILLA ROYALE,7 NAM PING WAI ROAD,御花園,南邊圍路7號
KO FU BUILDING,58-72 FUK MAN ROAD,高富樓,褔民路58-72號
SAI KUNG MANSION (BUILDING),42-56 FUK MAN ROAD,西貢大廈,福民路42-56號
HONG HAY VILLA,9 CHUK KOK ROAD,康曦花園,竹角路9號
CASA BELLA,5 SILVERSTRAND BEACH ROAD,銀海山莊,銀線灣道5號
THE GIVERNY,MAN KEI TOI,溱喬,萬基台
CHAN UK VILLAGE,MANG KUNG UK ROAD,陳屋村,孟公屋路
FLORAL VILLAS,18 TSO WO ROAD,早禾居,早禾路18號
THE PORTOFINO,88-188 PAK TO AVENUE,柏濤豪苑,柏濤徑88至188號
THE MEDITERRANEAN,8 TAI MONG TSAI ROAD,逸瓏園,大網仔路8號
VILLA GOLD FINCH,KAI HAM,金豪花園,界咸
KAMBRIDGE GARDEN,1 RAZOR HILL ROAD,金璧花園,碧翠路1號
RAZOR PARK,30 RAZOR HILL ROAD,寶珊苑,碧翠路30號
ROYAL GARDEN,WO MEI HUNG MIN ROAD,御庭園,窩美紅棉路
GREEN PARK,29 RAZOR HILL ROAD,碧翠苑,碧翠路29號
GREENVIEW GARDEN,31 RAZOR HILL ROAD,綠怡花園,碧翠路31號
FESTIVAL CITY,1 MEI TIN ROAD,名城,美田路1號
GOLDEN LION GARDEN,5-7 CHUI TIN STREET,金獅花園,翠田街5-7號
MAY SHING COURT,32-36 MEI TIN ROAD,美城苑,美田路32-36號
CARADO GARDEN,20-30 TIN SAM STREET,雲疊花園,田心街20-30號
FUNG SHING COURT,2-6 FUNG SHEK STREET,豐盛苑,豐石街2-6號
HIN KENG ESTATE,69 CHE KUNG MIU ROAD,顯徑?,車公廟路69號
THE RIVERPARK,8 CHE KUNG MIU ROAD,溱岸8號,車公廟路8號
GRANDEUR GARDEN,2-12 CHIK FAI STREET,金禧花園,積輝街2-12號
GRANVILLE GARDEN,18 PIK TIN STREET,恆峰花園,碧田街18號
MEI CHUNG COURT,25-35 MEI TIN ROAD,美松苑,美田路25-35號
HILL PARAMOUNT,18 HIN TAI STREET,名家匯,顯泰街18號
GRANDWAY GARDEN,35 TSUEN NAM ROAD,富嘉花園,村南道35號
KA TIN COURT,3 HIN TIN STREET,嘉田苑,顯田街3號
KING TIN COURT,12 CHUI TIN STREET,景田苑,翠田街12號
MAN LAI COURT,43-49 MAN LAI ROAD,文禮閣,文禮路43-49號
GREENVIEW GARDEN,1-3 CHUI TIN STREET,愉景花園,翠田街1-3號
HOLFORD GARDENS,2-8 CHIK WAN STREET,海福花園,積運街2-8號
KAM SHAN BUILDING,1-35 TAI WAI ROAD,金山樓,大圍道1-35號
GLAMOUR GARDEN,1-5 CHIK FAI STREET,金輝花園,積輝街1-5號
ON SHUN MANSION (BUILDING),31-51 CHIK SHUN STREET,安信樓,積信街31-51號
PARK VIEW GARDEN,8 PIK TIN STREET,翠景花園,碧田街8號
THE BLOSSOM,21 KENG HAU ROAD,桃花源,徑口路21號
TAK ON BUILDING,79-89 CHIK FU STREET,德安樓,積富街79-89號
HONG LOK BUILDING (HOUSE),96 CHIK FUK STREET,康樂樓,積福街96號
TAI ON BUILDING,49 TSUEN NAM ROAD,泰安樓,村南道49號
KA KENG COURT,16 HIN KENG STREET,嘉徑苑,顯徑街16號
RICHMOND VILLA,38 LI UK TSUEN,沙田豪苑,李屋村38號
